JR湘南新宿ライン,横浜駅,宇都宮・籠原方面
[平日]
18:24,特急,池袋行,
18:24,特急,大宮(埼玉県)行,
18:24,特急,大宮(埼玉県)行,
18:34,普通,宇都宮行,
18:42,快速,籠原行,
18:52,快速,高崎行,
18:55,特急,高尾(東京都)行,
18:55,特急,高尾(東京都)行,
19:02,普通,宇都宮行,
19:19,快速,籠原行,
19:34,普通,小金井行,
19:50,特急,新宿行,
19:54,快速,高崎行,
20:04,快速,籠原行,
20:20,普通,小金井行,
20:36,快速,籠原行,
20:49,普通,宇都宮行,
21:11,快速,高崎行,
21:29,普通,小金井行,
21:50,快速,高崎行,
22:11,普通,小金井行,
22:27,快速,籠原行,
23:00,快速,高崎行,
